Major,researchExp,industryExp,toeflScore,GRE_V,GRE_Q,GRE_AWA,CGPA,University
Electrical and Computer Engineering,0.0,2.0,111.0,153,161,4.0,3.62,University of Illinois at Chicago
MIS,0.0,0.0,112.0,166,166,4.0,3.42,University of Illinois at Chicago
MIS,0.0,0.0,110.0,159,164,3.5,3.14,University of Illinois at Chicago
Information Systems,0.0,24.0,105.0,150,161,3.5,3.26,University of Illinois at Chicago
Electronics and Communication,0.0,0.0,103.0,138,170,3.0,3.2,University of Illinois at Chicago
MIS,0.0,14.0,95.0,147,165,3.0,2.8,University of Illinois at Chicago
Computer Science,0.0,0.0,112.0,145,170,4.0,3.74,University of Illinois at Chicago
MIS,0.0,0.0,98.0,149,160,3.0,3.8,University of Illinois at Chicago
Computer Science,0.0,0.0,104.21251509054326,144,170,3.5,3.23,University of Illinois at Chicago
MIS,0.0,0.0,105.0,145,170,4.0,3.74,University of Illinois at Chicago
Computer Science,0.0,0.0,103.0,152,157,3.0,3.2,University of Illinois at Chicago
MIS,0.0,0.0,110.0,153,159,3.0,3.26,University of Illinois at Chicago
Electrical Engineering,0.0,0.0,94.0,150,161,3.5,3.55,University of Illinois at Chicago
MIS,0.0,0.0,105.0,155,158,4.5,2.95,University of Illinois at Chicago
Industrial Engineering,0.0,0.0,108.0,145,170,3.5,3.58,University of Illinois at Chicago
MIS,0.0,0.0,106.0,156,156,2.5,3.0,University of Illinois at Chicago
MIS,0.0,0.0,106.0,147,170,3.0,3.36,University of Illinois at Chicago
Industrial Engineering,0.0,2.0,94.0,149,157,3.5,3.33,University of Illinois at Chicago
Computer Science,0.0,0.0,107.0,146,170,4.0,3.3,University of Illinois at Chicago
Mechanical Engineering,0.0,16.0,97.0,150,161,3.5,3.23,University of Illinois at Chicago
MIS,0.0,58.0,111.0,152,160,4.0,3.3,University of Illinois at Chicago
MIS,0.0,0.0,112.0,151,162,3.0,2.7,University of Illinois at Chicago
Mechanical Engineering,0.0,0.0,103.0,152,168,3.5,3.74,University of Illinois at Chicago
MIS,0.0,0.0,116.0,151,157,3.0,3.46,University of Illinois at Chicago
Computer Science,0.0,0.0,107.0,155,162,4.0,3.3,University of Illinois at Chicago
MIS,0.0,0.0,111.0,151,157,4.5,3.07,University of Illinois at Chicago
Information Systems,0.0,0.0,112.0,159,168,3.5,2.8,University of Illinois at Chicago
Mechanical Engineering,0.0,0.0,108.0,149,170,4.5,2.7,University of Illinois at Chicago
MIS,0.0,29.0,104.0,147,156,4.0,3.49,University of Illinois at Chicago
MIS,0.0,0.0,109.0,151,170,4.0,2.4,University of Illinois at Chicago
MIS,0.0,0.0,81.0,145,154,3.0,3.65,University of Illinois at Chicago
Computer Science,0.0,0.0,112.0,149,168,4.5,3.55,University of Illinois at Chicago
Computer Science,0.0,0.0,106.0,153,163,3.0,3.14,University of Illinois at Chicago
MIS,0.0,0.0,110.0,143,170,3.0,2.8,University of Illinois at Chicago
MIS,0.0,0.0,94.0,143,165,3.0,3.14,University of Illinois at Chicago
MIS,0.0,0.0,113.0,149,170,4.0,3.23,University of Illinois at Chicago
MIS,0.0,0.0,113.0,155,162,3.5,3.17,University of Illinois at Chicago
Business Analytics,0.0,0.0,105.0,146,170,4.0,2.6,University of Illinois at Chicago
Computer Science,0.0,0.0,98.0,145,170,3.5,3.39,University of Illinois at Chicago
MIS,0.0,0.0,113.0,158,161,3.5,3.7,University of Illinois at Chicago
MIS,0.0,0.0,104.21251509054326,151,157,4.0,3.74,University of Illinois at Chicago
MIS,0.0,0.0,105.0,153,157,4.0,3.39,University of Illinois at Chicago
Electrical Engineering,0.0,0.0,117.0,147,170,4.5,3.46,University of Illinois at Chicago
MIS,0.0,0.0,103.0,144,167,4.0,2.55,University of Illinois at Chicago
Computer Science,0.0,0.0,112.0,146,169,4.0,3.1,University of Illinois at Chicago
Computer Science,0.0,0.0,107.0,154,162,3.5,3.49,University of Illinois at Chicago
Information Systems,0.0,24.0,103.0,152,160,4.0,2.8,University of Illinois at Chicago
Civil Engineering,0.0,6.0,112.0,155,163,4.5,3.65,University of Illinois at Chicago
MIS,0.0,0.0,106.0,145,170,3.0,2.9,University of Illinois at Chicago
Information Systems,0.0,8.0,113.0,151,157,3.5,3.0,University of Illinois at Chicago
Computer Science,0.0,0.0,104.21251509054326,146,170,4.5,3.23,University of Illinois at Chicago
Information Systems,0.0,0.0,109.0,144,170,4.0,3.52,University of Illinois at Chicago
Industrial Engineering,0.0,27.0,107.0,155,161,4.0,3.39,University of Illinois at Chicago
Electrical Engineering,0.0,0.0,109.0,147,161,3.5,3.49,University of Illinois at Chicago
MIS,0.0,0.0,110.0,155,158,4.5,3.17,University of Illinois at Chicago
Electrical Engineering,0.0,0.0,95.0,142,170,2.5,3.58,University of Illinois at Chicago
Computer Science,0.0,0.0,95.0,149,164,3.5,3.52,University of Illinois at Chicago
Computer Science,0.0,0.0,92.0,152,155,3.0,3.52,University of Illinois at Chicago
MIS,0.0,0.0,104.21251509054326,148,163,3.0,3.5,University of Illinois at Chicago
MIS,0.0,0.0,104.21251509054326,151,157,6.0,3.49,University of Illinois at Chicago
Mechanical Engineering,0.0,0.0,110.0,154,163,3.5,3.3,University of Illinois at Chicago
Computer Science,0.0,0.0,105.0,152,155,3.0,3.26,University of Illinois at Chicago
MIS,0.0,0.0,110.0,155,164,3.0,3.36,University of Illinois at Chicago
MIS,0.0,0.0,118.0,161,158,4.5,2.8,University of Illinois at Chicago
Computer Science,0.0,0.0,114.0,144,170,3.5,3.52,University of Illinois at Chicago
Mechanical Engineering,0.0,0.0,104.21251509054326,142,170,3.5,3.0,University of Illinois at Chicago
Computer Science,0.0,0.0,104.0,148,170,3.5,3.17,University of Illinois at Chicago
Mechanical Engineering,0.0,0.0,96.0,144,159,3.0,3.0,University of Illinois at Chicago
MIS,0.0,0.0,100.0,151,157,5.0,2.6,University of Illinois at Chicago
Computer Science,0.0,9.0,114.0,152,163,4.0,3.62,University of Illinois at Chicago
Information Systems,0.0,1.0,103.0,151,159,3.5,3.14,University of Illinois at Chicago
MIS,0.0,0.0,100.0,141,168,3.0,3.14,University of Illinois at Chicago
Computer Science,0.0,0.0,102.0,143,165,3.5,3.3,University of Illinois at Chicago
Computer Science,0.0,0.0,113.0,149,170,3.5,3.49,University of Illinois at Chicago
Computer Science,0.0,0.0,118.0,157,170,4.5,3.36,University of Illinois at Chicago
Computer Science,0.0,0.0,104.21251509054326,147,157,5.0,2.75,University of Illinois at Chicago
Computer Science,0.0,0.0,104.21251509054326,152,170,5.5,3.0,University of Illinois at Chicago
MIS,0.0,0.0,110.0,148,164,4.0,3.36,University of Illinois at Chicago
MIS,0.0,0.0,118.0,159,162,4.5,3.65,University of Illinois at Chicago
MIS,0.0,0.0,114.0,156,162,3.5,3.42,University of Illinois at Chicago
MIS,0.0,0.0,114.0,156,163,4.0,2.9,University of Illinois at Chicago
Computer Science,0.0,0.0,106.0,139,170,3.0,2.75,University of Illinois at Chicago
MIS,0.0,0.0,104.0,143,170,2.5,3.07,University of Illinois at Chicago
MIS,0.0,0.0,108.0,154,162,4.5,3.23,University of Illinois at Chicago
MIS,0.0,0.0,106.0,148,170,3.5,3.1,University of Illinois at Chicago
Computer Science,0.0,0.0,112.0,147,170,4.0,3.14,University of Illinois at Chicago
MIS,0.0,0.0,97.0,148,165,3.5,3.0,University of Illinois at Chicago
Computer Science,0.0,0.0,98.0,144,170,4.0,2.7,University of Illinois at Chicago
Computer Science,0.0,0.0,101.0,151,170,3.0,3.1,University of Illinois at Chicago
MIS,0.0,0.0,102.0,150,162,4.0,3.36,University of Illinois at Chicago
Electronics and Communication,0.0,0.0,108.0,150,159,3.5,3.14,University of Illinois at Chicago
Electrical Engineering,0.0,0.0,95.0,150,168,2.5,3.74,University of Illinois at Chicago
Computer Science,0.0,0.0,94.0,140,166,3.0,3.49,University of Illinois at Chicago
Industrial Engineering,0.0,0.0,101.0,148,159,3.0,3.1,University of Illinois at Chicago
MIS,0.0,0.0,107.0,158,161,4.0,3.1,University of Illinois at Chicago
MIS,0.0,0.0,107.0,151,157,4.0,3.36,University of Illinois at Chicago
Computer Science,0.0,12.0,112.0,158,165,3.5,3.46,University of Illinois at Chicago
Electrical Engineering,0.0,0.0,99.0,149,158,3.0,2.95,University of Illinois at Chicago
Information Systems,0.0,0.0,109.0,156,159,4.0,3.36,University of Illinois at Chicago
Information Systems,0.0,0.0,95.0,145,165,3.0,3.17,University of Illinois at Chicago
Electronics and Communication,0.0,0.0,97.0,146,158,3.0,3.1,University of Illinois at Chicago
MIS,0.0,0.0,109.0,155,158,4.0,2.85,University of Illinois at Chicago
Electronics and Communication,0.0,0.0,108.0,149,159,3.0,3.39,University of Illinois at Chicago
MIS,0.0,0.0,108.0,144,170,3.0,3.26,University of Illinois at Chicago
MIS,0.0,0.0,108.0,148,170,3.5,3.2,University of Illinois at Chicago
Computer Science,0.0,0.0,113.0,147,170,4.0,3.33,University of Illinois at Chicago
Computer Science,0.0,6.0,108.0,153,161,3.5,3.2,University of Illinois at Chicago
MIS,0.0,0.0,106.0,151,167,3.5,3.17,University of Illinois at Chicago
Electrical Engineering,0.0,0.0,99.0,153,161,3.5,3.23,University of Illinois at Chicago
MIS,0.0,0.0,108.0,152,160,3.0,3.33,University of Illinois at Chicago
Chemical Engineering,0.0,0.0,109.0,140,170,3.5,3.42,University of Illinois at Chicago
Computer Science,0.0,0.0,108.0,144,170,3.0,3.49,University of Illinois at Chicago
Electronics and Communication,0.0,0.0,88.0,138,169,2.5,3.36,University of Illinois at Chicago
Computer Science,0.0,0.0,110.0,145,170,4.0,3.49,University of Illinois at Chicago
Computer Science,0.0,0.0,92.0,140,168,3.5,3.23,University of Illinois at Chicago
Electrical Engineering,0.0,0.0,91.0,136,168,2.5,3.55,University of Illinois at Chicago
Computer Science,0.0,24.0,111.0,157,170,4.5,3.39,University of Illinois at Chicago
Industrial Engineering,0.0,0.0,104.21251509054326,153,165,4.0,2.95,University of Illinois at Chicago
Electrical Engineering,0.0,12.0,99.0,140,161,2.5,3.84,University of Illinois at Chicago
Mechanical Engineering,0.0,0.0,110.0,157,159,4.5,2.55,University of Illinois at Chicago
Computer Science,0.0,0.0,102.0,148,170,4.0,3.49,University of Illinois at Chicago
Computer Science,0.0,0.0,112.0,155,170,3.5,2.8,University of Illinois at Chicago
Information Systems,0.0,0.0,111.0,149,169,3.5,2.9,University of Illinois at Chicago
Mechanical Engineering,0.0,0.0,109.0,152,169,3.5,2.8,University of Illinois at Chicago
MIS,0.0,0.0,107.0,151,162,3.5,3.1,University of Illinois at Chicago
MIS,0.0,0.0,98.0,151,170,3.0,2.4,University of Illinois at Chicago
MIS,0.0,0.0,104.0,148,160,4.0,2.7,University of Illinois at Chicago
Computer Science,0.0,0.0,115.0,154,157,4.5,3.49,University of Illinois at Chicago
Computer Science,0.0,0.0,105.0,147,170,4.5,3.39,University of Illinois at Chicago
Information Systems,0.0,0.0,95.0,143,170,3.0,3.23,University of Illinois at Chicago
Electrical Engineering,0.0,0.0,110.0,147,170,4.0,3.36,University of Illinois at Chicago
Electrical Engineering,0.0,0.0,100.0,152,162,2.5,3.33,University of Illinois at Chicago
Civil Engineering,2.0,19.0,99.0,152,156,3.0,3.49,University of Illinois at Chicago
Computer Science,0.0,0.0,102.0,146,170,3.5,3.71,University of Illinois at Chicago
Computer Science,0.0,0.0,102.0,152,158,3.5,3.42,University of Illinois at Chicago
MIS,0.0,0.0,105.0,156,161,3.5,3.33,University of Illinois at Chicago
Computer Science,0.0,0.0,104.21251509054326,148,169,2.5,3.17,University of Illinois at Chicago
MIS,0.0,0.0,116.0,150,167,3.5,2.55,University of Illinois at Chicago
MIS,0.0,0.0,111.0,149,170,3.0,2.9,University of Illinois at Chicago
Information Systems,0.0,0.0,103.0,151,157,4.5,2.85,University of Illinois at Chicago
Computer Science,0.0,0.0,109.0,155,170,3.5,3.46,University of Illinois at Chicago
Electrical Engineering,24.0,36.0,104.0,157,165,4.0,2.85,University of Illinois at Chicago
Computer Science,0.0,0.0,104.21251509054326,154,170,3.0,2.6,University of Illinois at Chicago
Electronics and Communication,0.0,0.0,108.0,152,168,3.5,3.39,University of Illinois at Chicago
Computer Science,0.0,0.0,90.0,150,165,3.5,3.68,University of Illinois at Chicago
Computer Science,0.0,0.0,116.0,154,162,3.5,3.84,University of Illinois at Chicago
MIS,0.0,0.0,92.0,150,161,3.5,3.07,University of Illinois at Chicago
Computer Science,0.0,0.0,117.0,151,169,3.5,3.2,University of Illinois at Chicago
Mechanical Engineering,7.0,1.0,107.0,157,159,4.0,3.55,University of Illinois at Chicago
MIS,0.0,0.0,107.0,158,164,4.0,3.49,University of Illinois at Chicago
MIS,0.0,43.0,105.0,155,163,3.0,3.36,University of Illinois at Chicago
MIS,0.0,0.0,106.0,162,154,3.5,2.85,University of Illinois at Chicago
Computer Science,0.0,0.0,103.0,154,170,3.0,3.62,University of Illinois at Chicago
MIS,0.0,42.0,98.0,152,166,3.5,2.95,University of Illinois at Chicago
Computer Science,0.0,0.0,94.0,142,170,3.0,3.65,University of Illinois at Chicago
Computer Science,0.0,0.0,112.0,160,170,4.0,3.46,University of Illinois at Chicago
Computer Science,0.0,0.0,95.0,141,170,3.0,3.17,University of Illinois at Chicago
MIS,0.0,0.0,97.0,149,160,3.5,3.2,University of Illinois at Chicago
Computer Science,0.0,0.0,104.0,155,170,3.5,3.52,University of Illinois at Chicago
Computer Science,0.0,0.0,95.0,149,168,3.5,3.23,University of Illinois at Chicago
Electronics and Communication,0.0,0.0,91.0,142,159,3.0,3.55,University of Illinois at Chicago
Computer Science,0.0,0.0,99.0,140,170,3.0,3.1,University of Illinois at Chicago
MIS,0.0,0.0,95.0,150,161,4.0,3.49,University of Illinois at Chicago
Electronics and Communication,0.0,0.0,95.0,148,159,2.5,3.23,University of Illinois at Chicago
Computer Science,0.0,0.0,109.0,151,170,4.0,3.42,University of Illinois at Chicago
MIS,0.0,0.0,102.0,144,170,3.0,3.07,University of Illinois at Chicago
Electronics and Communication,0.0,0.0,113.0,146,170,3.5,3.39,University of Illinois at Chicago
MIS,0.0,0.0,105.0,147,168,4.0,3.2,University of Illinois at Chicago
Electronics and Communication,0.0,0.0,88.0,145,170,3.0,3.49,University of Illinois at Chicago
Computer Science,0.0,0.0,97.0,142,152,4.5,3.62,University of Illinois at Chicago
Computer Science,0.0,0.0,104.21251509054326,152,170,2.5,3.42,University of Illinois at Chicago
MIS,0.0,0.0,108.0,150,162,4.0,3.14,University of Illinois at Chicago
MIS,0.0,0.0,105.0,154,157,3.0,2.7,University of Illinois at Chicago
Computer Science,0.0,47.0,103.0,153,162,3.5,3.39,University of Illinois at Chicago
MIS,0.0,0.0,115.0,155,168,5.0,3.39,University of Illinois at Chicago
MIS,0.0,32.0,109.0,162,158,4.0,3.58,University of Illinois at Chicago
Electrical Engineering,0.0,0.0,102.0,152,170,3.5,3.36,University of Illinois at Chicago
Computer Science,0.0,5.0,104.21251509054326,152,163,3.5,3.42,University of Illinois at Chicago
Electronics and Communication,0.0,0.0,104.21251509054326,149,155,3.0,3.33,University of Illinois at Chicago
Computer Science,0.0,0.0,96.0,151,157,4.0,3.65,University of Illinois at Chicago
Computer Science,0.0,0.0,97.0,143,170,3.5,3.26,University of Illinois at Chicago
Computer Science,0.0,0.0,105.0,145,170,3.0,3.26,University of Illinois at Chicago
Computer Science,0.0,31.0,113.0,161,170,5.0,3.26,University of Illinois at Chicago
MIS,0.0,27.0,105.0,154,164,3.0,3.36,University of Illinois at Chicago
MIS,0.0,0.0,111.0,154,159,4.0,3.71,University of Illinois at Chicago
MIS,0.0,0.0,104.21251509054326,158,165,3.5,3.04,University of Illinois at Chicago
MIS,0.0,83.0,107.0,151,161,4.0,3.36,University of Illinois at Chicago
Computer Science,0.0,0.0,117.0,148,170,4.0,3.46,University of Illinois at Chicago
Computer Science,0.0,0.0,105.0,148,166,3.0,3.3,University of Illinois at Chicago
Computer Science,0.0,0.0,91.0,149,162,3.5,3.1,University of Illinois at Chicago
Electronics and Communication,0.0,0.0,111.0,158,164,3.5,3.46,University of Illinois at Chicago
Computer Science,0.0,0.0,98.0,142,170,4.0,3.49,University of Illinois at Chicago
Computer Science,0.0,0.0,108.0,154,156,3.0,3.26,University of Illinois at Chicago
Computer Science,0.0,0.0,96.0,144,170,3.0,3.23,University of Illinois at Chicago
MIS,0.0,0.0,95.0,146,162,3.0,3.04,University of Illinois at Chicago
MIS,0.0,0.0,101.0,144,170,4.0,3.36,University of Illinois at Chicago
MIS,0.0,0.0,107.0,149,170,3.0,3.39,University of Illinois at Chicago
MIS,0.0,0.0,100.0,151,157,5.0,3.07,University of Illinois at Chicago
Computer Science,2.0,16.0,103.0,155,162,3.5,3.52,University of Illinois at Chicago
Computer Science,0.0,0.0,93.0,148,164,3.5,3.23,University of Illinois at Chicago
MIS,0.0,0.0,110.0,154,166,4.0,3.68,University of Illinois at Chicago
Computer Science,0.0,0.0,104.21251509054326,153,170,5.0,3.49,University of Illinois at Chicago
Mechanical Engineering,0.0,0.0,104.21251509054326,141,169,5.0,3.46,University of Illinois at Chicago
Electronics and Communication,0.0,0.0,104.21251509054326,143,170,4.5,3.62,University of Illinois at Chicago
Computer Science,0.0,1.0,110.0,158,165,4.0,2.95,University of Illinois at Chicago
Information Systems,0.0,0.0,104.0,150,165,4.0,3.52,University of Illinois at Chicago
MIS,0.0,0.0,104.0,145,170,3.0,3.23,University of Illinois at Chicago
Mechanical Engineering,0.0,0.0,107.0,152,161,4.0,3.36,University of Illinois at Chicago
Computer Science,0.0,0.0,90.0,150,159,3.5,2.9,University of Illinois at Chicago
MIS,0.0,0.0,106.0,151,162,4.0,2.8,University of Illinois at Chicago
MIS,0.0,0.0,111.0,154,163,4.0,3.42,University of Illinois at Chicago
Industrial Engineering,0.0,32.0,87.0,153,156,3.5,3.07,University of Illinois at Chicago
MIS,0.0,0.0,104.21251509054326,160,151,4.0,3.07,University of Illinois at Chicago
Industrial Engineering,0.0,0.0,103.0,143,158,3.5,3.1,University of Illinois at Chicago
Computer Science,0.0,0.0,98.0,143,169,3.0,2.7,University of Illinois at Chicago
Computer Science,0.0,0.0,101.0,143,170,3.0,3.17,University of Illinois at Chicago
Computer Science,0.0,0.0,108.0,148,168,6.0,3.52,University of Illinois at Chicago
MIS,0.0,0.0,101.0,152,156,3.5,2.4,University of Illinois at Chicago
Computer Science,0.0,0.0,101.0,136,168,3.5,3.3,University of Illinois at Chicago
Computer Science,0.0,17.0,110.0,164,165,3.5,3.52,University of Illinois at Chicago
MIS,0.0,0.0,104.21251509054326,151,157,5.5,3.1,University of Illinois at Chicago
Computer Science,0.0,0.0,104.21251509054326,141,170,3.0,3.49,University of Illinois at Chicago
Biomedical Engineering,0.0,0.0,99.0,149,163,3.5,3.04,University of Illinois at Chicago
Electrical Engineering,0.0,0.0,95.0,145,166,3.0,3.49,University of Illinois at Chicago
Computer Science,0.0,0.0,101.0,151,170,3.0,3.04,University of Illinois at Chicago
MIS,0.0,0.0,104.0,144,168,3.5,2.75,University of Illinois at Chicago
MIS,0.0,0.0,104.21251509054326,146,159,3.5,3.58,University of Illinois at Chicago
Computer Science,0.0,0.0,97.0,146,170,3.0,3.0,University of Illinois at Chicago
Computer Science,0.0,0.0,99.0,146,168,3.0,3.17,University of Illinois at Chicago
Computer Science,0.0,15.0,112.0,152,162,4.5,3.46,University of Illinois at Chicago
Mechanical Engineering,0.0,0.0,104.21251509054326,142,162,3.0,2.8,University of Illinois at Chicago
Computer Science,0.0,0.0,106.0,148,170,4.0,3.55,University of Illinois at Chicago
MIS,0.0,0.0,102.0,148,161,3.5,3.36,University of Illinois at Chicago
MIS,0.0,0.0,103.0,151,156,3.0,2.7,University of Illinois at Chicago
MIS,0.0,0.0,110.0,148,170,4.0,3.52,University of Illinois at Chicago
Electrical Engineering,0.0,0.0,94.0,139,170,3.5,3.65,University of Illinois at Chicago
MIS,0.0,54.0,104.0,153,159,4.5,3.26,University of Illinois at Chicago
Computer Science,0.0,0.0,100.0,139,170,3.5,3.46,University of Illinois at Chicago
MIS,0.0,0.0,112.0,151,157,5.0,2.75,University of Illinois at Chicago
MIS,0.0,0.0,105.0,152,158,3.5,3.39,University of Illinois at Chicago
Computer Science,0.0,0.0,106.0,151,170,3.0,2.6,University of Illinois at Chicago
Computer Science,0.0,0.0,98.0,142,165,3.5,3.42,University of Illinois at Chicago
MIS,0.0,37.0,111.0,154,161,4.0,3.33,University of Illinois at Chicago
MIS,0.0,0.0,104.21251509054326,152,164,3.0,2.85,University of Illinois at Chicago
Computer Science,0.0,0.0,93.0,148,160,3.0,3.71,University of Illinois at Chicago
MIS,0.0,24.0,116.0,157,159,4.0,3.17,University of Illinois at Chicago
Electrical Engineering,0.0,0.0,104.21251509054326,142,170,3.0,3.42,University of Illinois at Chicago
MIS,0.0,0.0,109.0,155,166,4.5,2.7,University of Illinois at Chicago
MIS,0.0,54.0,109.0,156,153,3.0,3.17,University of Illinois at Chicago
Computer Science,0.0,0.0,107.0,142,170,3.5,3.58,University of Illinois at Chicago
MIS,0.0,0.0,113.0,153,165,4.0,3.58,University of Illinois at Chicago
Information Systems,0.0,57.0,105.0,167,158,3.0,3.07,University of Illinois at Chicago
MIS,0.0,33.0,104.0,149,165,4.0,3.26,University of Illinois at Chicago
Electrical Engineering,0.0,2.0,108.0,151,160,3.0,3.68,University of Illinois at Chicago
MIS,0.0,0.0,104.21251509054326,151,157,4.0,3.33,University of Illinois at Chicago
MIS,0.0,0.0,104.0,145,170,3.5,2.6,University of Illinois at Chicago
MIS,0.0,36.0,104.0,156,155,4.0,2.85,University of Illinois at Chicago
MIS,0.0,0.0,94.0,142,170,3.0,3.49,University of Illinois at Chicago
Computer Science,0.0,0.0,96.0,150,163,4.0,3.52,University of Illinois at Chicago
Chemical Engineering,0.0,0.0,108.0,148,170,4.0,3.33,University of Illinois at Chicago
MIS,0.0,0.0,100.0,147,168,2.5,3.26,University of Illinois at Chicago
Electronics and Communication,0.0,1.0,110.0,157,164,4.0,3.17,University of Illinois at Chicago
MIS,0.0,0.0,100.0,152,163,3.5,3.36,University of Illinois at Chicago
Electronics and Communication,0.0,0.0,111.0,148,170,3.5,3.1,University of Illinois at Chicago
MIS,0.0,0.0,112.0,154,165,4.5,3.42,University of Illinois at Chicago
Computer Science,0.0,0.0,97.0,141,169,4.5,3.2,University of Illinois at Chicago
Electronics and Communication,0.0,0.0,109.0,146,168,3.0,3.33,University of Illinois at Chicago
MIS,0.0,0.0,109.0,148,170,3.5,3.3,University of Illinois at Chicago
MIS,0.0,0.0,104.0,149,157,3.0,3.1,University of Illinois at Chicago
Computer Science,0.0,0.0,106.0,141,170,2.5,3.36,University of Illinois at Chicago
MIS,0.0,0.0,101.0,155,168,4.5,3.33,University of Illinois at Chicago
MIS,0.0,30.0,102.0,155,157,3.5,3.46,University of Illinois at Chicago
Information Systems,0.0,0.0,108.0,149,159,4.0,3.36,University of Illinois at Chicago
Computer Science,0.0,17.0,100.0,151,163,3.5,3.3,University of Illinois at Chicago
Computer Science,0.0,0.0,104.21251509054326,151,160,4.0,3.55,University of Illinois at Chicago
MIS,0.0,10.0,107.0,156,167,4.0,3.3,University of Illinois at Chicago
Computer Science,0.0,0.0,110.0,153,167,4.0,3.39,University of Illinois at Chicago
MIS,0.0,0.0,112.0,155,163,4.0,2.6,University of Illinois at Chicago
Computer Science,0.0,0.0,98.0,150,163,3.0,3.2,University of Illinois at Chicago
MIS,0.0,0.0,107.0,145,170,3.5,2.9,University of Illinois at Chicago
MIS,0.0,0.0,115.0,152,170,4.0,2.75,University of Illinois at Chicago
Computer Science,0.0,0.0,90.0,144,170,3.5,3.33,University of Illinois at Chicago
Computer Science,0.0,0.0,86.0,144,169,3.0,3.42,University of Illinois at Chicago
Mechanical Engineering,0.0,0.0,97.0,149,159,3.0,3.04,University of Illinois at Chicago
Electrical Engineering,0.0,0.0,109.0,153,167,3.5,3.46,University of Illinois at Chicago
MIS,0.0,0.0,95.0,138,170,3.0,3.26,University of Illinois at Chicago
Computer Science,0.0,0.0,94.0,144,158,3.5,2.95,University of Illinois at Chicago
MIS,0.0,0.0,95.0,150,161,3.0,3.14,University of Illinois at Chicago
MIS,0.0,0.0,109.0,155,160,3.0,3.14,University of Illinois at Chicago
Information Systems,0.0,0.0,99.0,143,165,3.5,3.14,University of Illinois at Chicago
MIS,0.0,0.0,97.0,150,161,3.0,3.3,University of Illinois at Chicago
Information Systems,0.0,0.0,94.0,147,170,2.5,3.26,University of Illinois at Chicago
Computer Science,0.0,0.0,100.0,146,170,4.0,3.07,University of Illinois at Chicago
Computer Science,0.0,0.0,105.0,155,164,3.5,3.3,University of Illinois at Chicago
MIS,0.0,0.0,105.0,154,156,3.0,2.8,University of Illinois at Chicago
Electrical Engineering,0.0,0.0,102.0,150,161,3.5,3.55,University of Illinois at Chicago
Computer Science,0.0,0.0,104.0,147,160,3.5,3.42,University of Illinois at Chicago
Computer Science,0.0,0.0,108.0,151,169,3.0,3.33,University of Illinois at Chicago
MIS,0.0,0.0,103.0,151,166,4.0,2.7,University of Illinois at Chicago
Computer Science,0.0,21.0,116.0,157,162,4.0,3.55,University of Illinois at Chicago
Information Systems,0.0,0.0,104.21251509054326,147,170,3.0,2.9,University of Illinois at Chicago
MIS,0.0,0.0,101.0,153,160,3.0,3.0,University of Illinois at Chicago
Computer Science,0.0,0.0,96.0,144,163,3.0,3.0,University of Illinois at Chicago
Electronics and Communication,0.0,0.0,96.0,147,159,3.5,2.6,University of Illinois at Chicago
MIS,0.0,0.0,111.0,147,170,4.0,2.65,University of Illinois at Chicago
Computer Science,0.0,0.0,98.0,150,156,3.5,3.33,University of Illinois at Chicago
MIS,0.0,0.0,101.0,147,168,3.5,3.17,University of Illinois at Chicago
Electronics and Communication,0.0,0.0,95.0,141,160,3.5,3.42,University of Illinois at Chicago
Mechanical Engineering,0.0,0.0,109.0,149,161,3.5,3.46,University of Illinois at Chicago
MIS,0.0,0.0,107.0,151,161,3.5,2.7,University of Illinois at Chicago
Electrical Engineering,0.0,0.0,88.0,139,170,3.0,3.62,University of Illinois at Chicago
MIS,0.0,0.0,109.0,159,166,3.5,3.9,University of Illinois at Chicago
Mechanical Engineering,0.0,27.0,92.0,150,161,3.0,3.1,University of Illinois at Chicago
Industrial Engineering,0.0,0.0,104.0,152,170,3.5,3.33,University of Illinois at Chicago
MIS,0.0,49.0,105.0,152,164,4.0,3.04,University of Illinois at Chicago
Information Systems,0.0,0.0,109.0,149,170,3.0,3.07,University of Illinois at Chicago
Electrical Engineering,0.0,0.0,102.0,153,161,4.0,3.36,University of Illinois at Chicago
Computer Science,0.0,20.0,106.0,155,159,3.5,3.3,University of Illinois at Chicago
MIS,0.0,20.0,109.0,151,164,3.0,3.36,University of Illinois at Chicago
MIS,0.0,0.0,108.0,156,161,4.0,3.58,University of Illinois at Chicago
MIS,0.0,0.0,107.0,152,163,4.0,3.23,University of Illinois at Chicago
Computer Science,32.0,54.0,96.0,149,170,3.5,3.78,University of Illinois at Chicago
Computer Science,0.0,0.0,97.0,148,168,3.0,3.36,University of Illinois at Chicago
MIS,0.0,0.0,111.0,154,160,4.0,3.23,University of Illinois at Chicago
MIS,0.0,0.0,103.0,151,161,3.0,3.26,University of Illinois at Chicago
Computer Science,0.0,0.0,114.0,151,169,4.0,3.33,University of Illinois at Chicago
Business Analytics,0.0,0.0,110.0,156,154,3.0,3.0,University of Illinois at Chicago
MIS,0.0,0.0,102.0,152,165,3.0,3.58,University of Illinois at Chicago
Computer Science,0.0,0.0,93.0,151,169,3.0,3.23,University of Illinois at Chicago
Computer Science,0.0,0.0,96.0,142,170,3.0,3.42,University of Illinois at Chicago
